Title,Rating,Genres,Rank,Year,Air Date,Episodes,Duration,Watchers,Tags,Synopsis,Cast,Network,Review
28 Faces of the Moon,,,9239,2016.0,2016.0,8,,,,A man’s life spirals downward after his fiance dies just days before their wedding. ,"Geummi, Kang Pil Sun, Kim Kyu Jong, Yang  Jin Sung",,"Pardon my French but wtf did I just watch???  Have you ever started a drama that was so bad, like SO BAD that you want to drop it but at the same time its too mind boggling  stupid that you want to just watch it so you can laugh at how shit it was? Well welcome to 28 faces of the moon. I went looking for short dramas that I could watch on my commute to and from work. My bus ride is just under 20 mins so rather than getting upset to leave a normal episode of drama incomplete until I get home, I thought I would look into shorter dramas with 10-20 mins episodes. That is how I found this fiasco. I had previously watched Kiss Goblin which was 12x 10 minute episodes and a MILLION times more exciting/ interesting than this so I thought I was getting the same kind of quality here? HA HA HAThe irony is, the summary actually sounds interesting. I don't know who wrote this or produced it, but it definitely missed it's mark. It had the potential to be great. It failed HARD. The acting was bad. The storyline was bad. I wanted to drop it every step of the way but my pride forced me to finish it because I don't like leaving things incomplete. Overall, if I could rate this zero stars, I would but MDL doesn't have that option. I guess the 1 star is too generous for this mess but here you go writers1/10. Thanks for wasting my time."
2PM Campus,,,47838,2022.0,2022.0,4,,,,"""The hottest time of the day, we are in it.""Our story made by women in their 20s, talking about lively topics that women in their 20s can worry about.(Source: 오후 두 시의 캠퍼스  YouTube)",Lee Soo Ha,,"A touching and relatable collection of stories from women attending university together.  It's always nice to find hidden gems, and I do think this webseries is one of those! While it is noticeable as it is in most webdramas that the producers of this show most likely didn't have a large budget, the directing and cinematography were appealing nonetheless. Each story was heartfelt, and I think this partially comes from the fact that to my limited knowledge,the cast members are just like the characters- attending a women's university with one another. They managed to cover sensitive and meaningful content in very brief amounts of time, while still giving us enjoyable and fluffy content. I particularly enjoyed the character of Juyeon and her plotline, as a lesbian. I enjoyed that rather than exclusively focusing on the internal struggles of being lesbian, it also showed that as partners we have normal issues like simple insecurities that aren't related to homophobia. Juyeon and her girlfriend as characters feel very real, and I think this shows how much effort the actresses put into it, especially after watching the behind the scenes videos. Overall, I think this is a nice collection of episodes that is heartwarming to watch as a woman.  I hope to see all of these young women acting in the future."
3 AM,,,57216,2017.0,2017.0,6,,,,,,Naver TV Cast,
3 AM Season 2,,,56465,2017.0,2017.0,6,,,,,,Naver TV Cast,
300 Year-Old Class of 2020,,,6391,2020.0,2020.0,6,,,,"The series is a fantasy comic web drama that tells a story of three students, who were studying in Seowon during the Joseon period accidently time travel and arrive at present-day Seowon in 2020.(Source: Korea Cultural Heritage Administration)","Choi Ji Su, Han Se Jin, Julien Kang, Ko Jae Hyun, Steve Noh",Daum Kakao TV Naver TV Cast,"A Directionless Stumble  I care about this drama so little I can barely manage to write a review. It was a slog just to finish it, even though it's pretty much just the length of a movie. Regardless of my initial appreciation of the chemistry between the three friends, I felt absolutely no connection with the female lead and saw no clear character motivations brought up among them. There is frighteningly little real conflict or stakes, which wouldn't be too bad if it weren't for the complete lack of effective comedy throughout. Simply put: I didn't care. I didn't care about the characters, or their connections, or the unconvincing goal to return to the past (none of them seemed quite attached to it anyway). Whatever romance there was felt forced and undeveloped, and the female lead basically had no compelling character traits or motivations or flaws or... well, basically anything. I don't have too much against the acting or production, but I really just couldn't care less about any of it. I do not recommend this drama."
365,8.6,"Drama, Fantasy, Mystery, Thriller",#98,2020.0,2020.0,24,35.0,,"Accident, Detective, Fate, Murder, Nice Male Lead, Strong Female Lead, Supernatural, Suspense, Time Travel, Webtoon Writer","A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.","Ahn Seung Gyun, Kim Jee Soo, Lee Joon Hyuk, Lee Sung Wook, Nam Ji Hyun, Yoon Joo Sang",MBC,
365: Repeat the Year,,,413,2020.0,2020.0,24,,,,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.Ji Hyung Joo is a detective in the violent crimes division. He used to be part of the traffic police but was promoted when he arrested a wanted criminal.It's been seven years since the change, and he's a talented individual who always knows how to relax. Though he is happy at first to have the chance to go back in time by one year and ""reset"" his life, he begins to search for the truth when a series of mysterious events befall the group of people he goes back in time with.(Source: Soompi, MBC)~~ Adapted from the novel “Repeat"" by Inui Kurumi.","Ahn Seung Gyun, Kim Jee Soo, Lee Joon Hyuk, Lee Sung Wook, Nam Ji Hyun, Yoon Joo Sang",MBC,""" 365 : Repeat the Year "" was a good thriller.The drama was action packed, focusing on two main characters who were trying to solve the mystery of the serial killer who was trying to kill them all. There were enough twists to keep things interesting, and tiring at times, as, at some point, the twist over twist was a bit too much. The mystery, however, was not easy to predict, or to guess who was the culprit, as, in each episode, another character seemed suspicious. The drama didn't add romance to the mix, at least not too obvious, which was really a relief. However, the main plot with the going back in time and the whole organization was not properly explained. The ending, in addition, was simply perfect. Finally, the performances were great from all the actors and actresses of the cast.So, overall, seven out of ten."
38 Task Force,,,1686,2016.0,2016.0,16,,,,"A special task force will mix cops and criminals in order to catch bad guys, but this time the good-bad guys will be con artists who use their skills of fraud and deception in order to help catch tax evaders.While the working class faithfully pays its taxes, the wealthiest elite uses elaborate schemes to get out of paying their fair share of taxes. Righteous Baek Sung Il is a civil service employee who works as the Division 3 Chief at the National Tax Service who becomes fed up with the wealthiest citizens circumventing Article 38, which governs tax payments. Under pressure from his bosses to increase his division’s delinquent tax collections, Sung Il tries to go after the largest tax evader in the country, Ma Jin Seok, a shady Gangnam businessman who owes the country an estimated $50 million in back taxes. But when Sung Il and his faithful subordinate Chun Sung Hee are humiliated by Jin Seok and faced with possible disciplinary action, Sung Il realizes that he needs help going after the corrupt businessman. He accepts the help of professional scammer Yang Jung Do to beat Jin Seok at his own game.","Choi Soo Young, Go Gyu Pil, Heo Jae Ho, Ma Dong Seok, Seo In Guk, Song Ok Sook",OCN,"Have you watched a drama that you want to know how it ends but you don't want it to end because if it ends, you wouldn't find anything equivalent to this? Well look no more. The story of this drama is one of a kind not the regular thief and criminal, cat and mouse hunt. If you're tired of the gooey romance and the common love triangles, and you want something more substantial go for it because this deserves all the praises it can get. 

Story : the story is almost flawless and fast paced enough that there isn't a single episode that wouldn't give you a high. The twists and turns that happen are almost realistic and you will find yourself getting slipped into the story. 

Acting : Ma Dong Seok and Seo In Gook. DO i need say more? the characters in the drama are played so well, you start believing in them. They take you a roller coaster ride and they do it well!!"
"380,000 km Between You and Me",,,43412,2019.0,2019.0,9,,,,"From a tutor to a school senior, From senior to boyfriend????Twenty-year-old earth wishing moon.The first love for the first love, the great operation! ","Choi Sang Bae, Kwon Sun Hyung, Seo Han Sol",vLive,
4 Kinds of House,,,6077,2018.0,2018.0,4,,,,"Web drama, '4 Kinds of House' is a drama based on the stories of people who are used to living alone living in a shared home and opening  up on their feelings and finding true love.When Na Yoon loses her apartment, she pretends to be her cousin in order to move into an all-male sharehouse who turns out to be owned by the idol Sun Min, known for his difficult personality and temper. As the rooms get occupied, they all change each others' lives.","Choi Min Hwan, Lee Jae Jin, Lee Sang, Nam Yi An, Nam Yoon Su, Zuny",MBC every1 Naver TV Cast,"Sympa  voir en 2 h  Mini ( 4 X 30 min) drama sur cohabitation entre 1 FL (dguise en mec) et 1 ML idol (qui s'est fait virer de son groupe).- le rythme est trs (parfois trop) rapide- la srie aborde le problme des appart en coloc (trs mal vus en Core) - joli friendship qui se dveloppe au sein de la coloc- bien jou- la ralisation est efficace pour un budget trs limit (peu d'acteurs, peu de changements de dcor, etc.)Sympa  voir en 2 h (avec un brin de romance)   Was this review helpful to you? Yes No Cancel"
4 Reasons Why I Hate Christmas,,,5422,2019.0,2019.0,6,,,,A web-drama about 4 young adults who hate Christmas who meet by chance and spend the month of December together. They unexpectedly become a part of each others lives as Christmas nears.,"Jeon Hye Yeon, Jin Ye Ju, Jung Hwi Young, Min Do Hee, Moon Sang Min, Park Shi An",Naver TV Cast vLive,"I started this ONLY for Kim Yeon Seo, and because her character and arc were well-developed and she did a good job, I'm ok with the rest of it. It's insubstantial fluff, but has some good lines, and the Ha Rim/BaDa story in particular seemed quite intelligent. I just hope that if a future series exapnds their story the writers leave her sharp, clear-eyed, cynical character intact. There's nothing to dislike about this piece of Xmas fluff, even the Xmas setting was low-key, a plus for a devout hater of Xmas like me. Overall, an inoffensive timepass, and another step forward in the development of a young actor whose work I plan to keep an eye on"
49 Days,8.3,"Drama, Melodrama, Romance, Supernatural",#233,2011.0,2011.0,20,70.0,,"Car Accident, Coma, Death, Depression, Fate, Flashback To Past, Multiple Mains, Naive Female Lead, Second Chance, Tragic Past","Shin Ji Hyun was enjoying absolute bliss as she was about to marry her fiancé, Kang Min Ho, but her perfect life is shattered when she gets into a car accident that leaves her in a coma. She is given a second chance at life by a person called The Scheduler, but it comes with a condition: she has to find three people outside of her family who would cry genuine tears for her. In order to do this, she borrows the body of Yi Kyung, a part-time employee at a convenience store for 49 days.","Bae Soo Bin, Jo Hyun Jae, Jung Il Woo, Lee Yo Won, Nam Gyu Ri, Seo Ji Hye",SBS,
72 Seconds,,,53649,2015.0,2015.0,8,,,,"Strange and hilarious, and heartwarming in turns, this Korean series of shorts plunges you deep into the everyday awkwardness of a single guy struggling to adult successfully.(Source: AsianCrush) ","Hong Tae Sun, Jang Hee Ryung, Jin Kyung Hwan, Kim Kyung Hwan, Lee Sun Joo, Pyo Ye Jin",,
72 Seconds Season 2,,,54245,2015.0,2015.0,8,,,,,"Jang Hee Ryung, Jin Kyung Hwan",,
72 Seconds Season 3,,,54979,2016.0,2016.0,8,,,,,"Go Min Si, Jang Hee Ryung, Jin Kyung Hwan, Pyo Ye Jin",,
88 Street,,,56751,2016.0,2016.0,12,,,,"Marco, a guy living with a trauma from a dead girlfriend, is a psychiatrist who treats students living on the 88th street. The drama shows how Marco helps students get over their traumas and make connections with others and the world again.","Choi Jong Hoon, Han Ji Sun, Kim Jae Hyun, Oh Seung Ah, Yoon Ye Hee",Naver TV Cast,"Great job at showing individual people and their own individual struggles  This drama did well when it came to showing how people have different struggles and traumas. It shows how each character acts/responds to situations because of their trauma. When it comes to the two main characters, the drama does well when it comes to these characters helping each other overcome their trauma and the fears that came along with it. Additionally, this drama makes you feel sympathy towards the characters whenever they are facing a situation and are feeling overwhelmed with what is happening around them. This drama was an interesting take on trauma and mental illness."
9 Seconds: Eternal Time,,,5758,2015.0,2015.0,7,,,,"Upon a chance meeting at a neighborhood photo studio, Yoo So Ra and Kang Yoo Chan develop a picture-perfect romance with the help of a magical camera that can freeze time. At first the camera seems like a game, but it begins to take on a whole new meaning as they face hardships that might cut their growing love and youth short. ","Fujii Mina, Lee Jae Hyung, Lee Joo Seung, Na Hae Ryung, Park Lydia",Naver TV Cast,"Overall this was a really short and sweet watch  but the blurb is a little misleading. The camera, which I thought was a REALLY REALLY cool premise, didn't play much of a role except for a few moments, and I honestly thought they would have bonded over it more.The main female lead also had to grow on me, because for a lot of the drama she really just felt like the typically quiet wide-eyed girl in kdramas. I really liked the scenes that she had with her mom and honestly wish it was explored more. The mom was an annoying character that was dumped in halfway and then left unaddressed.I will admit that the last episode had some surprising twists which short web dramas are often unable to pull off. I'm left feeling a little bittersweet but hopeful, which was nice.I also have mixed feelings about the ""second ship."" I appreciate the attempt to focus on characters aside from the main two, but at the same time I felt like they didn't add much to the story as characters and took time away from other things I would've liked seeing (ex: FL's mom)."
A Beautiful Mind,,,1265,2016.0,2016.0,14,,,,"Lee Yeong Oh is a genius neurosurgeon who just came back to Korea after finishing his studies abroad. He now works with his father, Lee Gun Myung, who is the head of the cardio-cerebrovascular center at Hyunsung hospital. However, Yeong Oh lacks empathy towards his patients due to his antisocial personality disorder.One day, traffic policewoman Gye Jin Sung sees a murder in front of her, which was disguised as a traffic accident. She rushes the victim to Hyunsung hospital, where her crush Surgeon Hyun Suk Joo, of the cardiothoracic section, and Surgeon Yeong Oh operate on him. Unfortunately, the patient dies and she starts suspecting Surgeon Yeong Oh of foul play. Meanwhile, a series of bizarre patient deaths start occurring at the hospital and Yeong Oh starts investigating it.(Source: MyDramaList)","Heo Joon Ho, Jang Hyuk, Kim Jong Soo, Park Se Young, Park So Dam, Yoon Hyun Min",KBS2,"This is a hard one to review, considering the fact that I am not a hospital drama fan, but I am so surprised that this drama was cut short. Of all the hospital dramas I have seen, this one was one of the most interesting. I was also intrigued by the idea of a love story with a sociopath as the main lead, but I have a feeling that's exactly what turned people away.

The most impressive part of this show is Jang Hyuk as Dr. Lee Yeong Oh. I've only seen him in Fated to Love You (which I LOVED), but he is completely unrecognizable compared to that role. His portrayal of a doctor who lacks empathy surprisingly tugged at my emotions. He was so good that it was impossible not to sympathize with his character. His approach to each case sometimes was reminiscent of the show ""House"", but I did find his character to be very unique. His performance alone would make me recommend this drama.

He is matched with Park So Dam as Gye Jin Sung. She was very cute, and played her role well, but I wasn't that impressed to be honest. In the beginning her character is written to be annoying, but that eventually turns into an awkwardness that is endearing. She also has pretty good chemistry with Jang Hyuk, and some really cute scenes, but there's no strong spark between them. Part of me wonders if a more mature actress would have made a better match for a strong character like Dr. Lee. It also may be too hard for some romance fans to root for the way the male lead uses Jin Sung. It didn't bother me, but I can see how some viewers may not like how gullible, and easy she is.

The supporting cast is also strong, especially the main hospital staff. Some of the ""bad guys"" are a little too clich for me, or not interesting enough to mention. Still, I think the cast is the strongest part of this show, they just didn't have a good enough story to support them.

The story was interesting at first, but I think it honestly became too complicated. The amount of betrayal, and corruption kept increasing, and I stopped being able to completely follow who was bad, and why. There was also a major personality change for one of the main characters which made that character less interesting to me. Then there was the complicated father son relationship, which was one of the most interesting parts of the show for me, but that story, and the romance story, were too often overshadowed by the hospital corruption plot which bored me. In spite my feelings about hospital dramas, I liked how the patient stories served to reveal new things about Dr. Lee, and I thought those stories were done well. I wish the overall drama focused more on that, and Dr. Lee, then maybe I would have liked it more.

The writers did do a good job of ending the show early without it feeling too rushed. I don't even think that having 2 extra episodes would have necessarily been any better. I prefer that a show be cut short rather than dragged out with nothing new to add. 

Overall I liked this show, but the start was much stronger than the finish. I don't really see myself watching it again, but I certainly don't regret watching. Like I said before, the main character is interesting enough that I would recommend watching this, but don't expect an epic romance, or an amazing thriller. In spite of my moderate review, I do agree that this show is underrated. I've seen much worse shows have much more popularity, so don't let the fact that it's unpopular fool you!"
A Beauty of Revenge,,,9014,2021.0,2021.0,5,,,,A story about a girl Park Minsun getting revenge on her bullies by changing her appearance and identity. She executes a plan to damage the leader of the delinquent group who has sociopathic tendencies.~~ Based on the the web drama 'Multi Personality Girl EP0' (2019).,"Cha Yi Do, Jang Yeo Bin, Park Min Sun, Park Young Jae, Son Ho Tae",,"Not Good Enough  Korean Web Drama ""A Beauty of Revenge"" suffers from its own short length.The drama had an interesting story, with lots of twists and an unexpected ending. However, its short length meant that the drama had to use a rather speedy pace. That resulted in a confusing story, with half-baked twists, messy progress, and an unsatisfying plot. The whole thing actually felt roughly patched together and poorly executed.As for the performances, they were decent, but the leading lady was especially enjoyable.So, overall, 1.5 out of 10.   Was this review helpful to you? Yes No Cancel"
A Bird That Doesn't Sing,,,51955,2015.0,2015.0,100,,,,A 10 billion won insurance murder case causes Oh Ha Naui to lose everything. She sets out to take revenge upon Chun Mi Ja who caused her misfortune.,"Ahn Jae Min, Baek Seung Hee, Hong Ah Reum, Kang Ji Sub, Kim Yoo Suk, Oh Hyun Kyung",tvN,"huh.....  This is the type of revenge story were the villain commit double digits crimes yet they don't get a worthy punishment after 100 episodes pain. The drama was okay for the first half but unfortunately the second half was doomed to fail because everything became inside a corporate setting. I yearn for the day drama writers realize that 2 parties fighting each other inside a company is boring as fuck! About 40-50 episodes were wasted on these random fights. The drama initially included the kids heavily but shortly after they were completely dropped to never be seen again on screen until the last scene. Anyway, only the 1st half was watchable."
