Title,Year,Episodes,Author(s)
All of Us Are Dead,2022,12.0,
Dr. Parks Clinic,2022,12.0,
"No, Thank You Season 2",2022,12.0,
Her Bucket List,2021,10.0,
Love & Wish,2021,9.0,
I Want to Live an Easy Life,2021,5.0,
Pumpkin Time,2021,10.0,
The World of My 17 Season 2,2021,10.0,
Shadow Beauty,2021,13.0,
Hellbound,2021,6.0,
Dr. Brain,2021,6.0,
The Birth of a Nation,2021,2.0,
Crime Puzzle,2021,10.0,
"Work Later, Drink Now",2021,12.0,
Yumi's Cells,2021,14.0,
D.P.,2021,6.0,
Kingdom: Ashin of the North,,,
"Nevertheless,",2021,10.0,
Shark: The Beginning,,,
"At a Distance, Spring Is Green",2021,12.0,
My Roommate Is a Gumiho,2021,16.0,
Sometoon 2021,2021,20.0,
Imitation,2021,12.0,
Happy Children,,,
Taxi Driver,2021,16.0,
The Sweet Blood,2021,15.0,
Navillera,2021,12.0,
Love Alarm Season 2,2021,6.0,
Must You Go?,2021,8.0,
How to Be Thirty,2021,15.0,
Sweet Home,,,
True Beauty,2020,16.0,
The Uncanny Counter    9.0,2020,16.0,
"No, Thank You",2020,12.0,
Love Revolution,2020,30.0,
Amanza,2020,10.0,
Hanging On,2020,10.0,
Steel Rain 2: Summit,,,
Pop Out Boy!,2020,10.0,
Backstreet Rookie,2020,16.0,
Sometoon 2020,2020,10.0,
In Your Dream,2020,8.0,
Dinner Mate,2020,32.0,
Mystic Pop-Up Bar,2020,12.0,
A Successful Geek,2020,5.0,
The World of My 17,2020,12.0,
How to Buy a Friend,2020,8.0,
Rugal,2020,16.0,
"Meow, the Secret Boy",2020,24.0,
Kingdom Season 2,2020,6.0,
Memorist,2020,16.0,
Itaewon Class,2020,16.0,
How Are You Bread,2020,5.0,
Secret Zoo,,,
Start-Up,,,
Killed My Wife,,,
Do With All Your Heart Today,2019,4.0,
Extraordinary You,2019,32.0,
The Tale of Nokdu,2019,32.0,
Pegasus Market,2019,12.0,
Strangers from Hell,2019,10.0,
Love Alarm,2019,8.0,
Long Live the King: Mokpo Hero,,,
0.0MHz,,,
My Absolute Boyfriend,2019,40.0,
"Spring, Again",,,
How to Hate You,2019,6.0,
The Banker,2019,32.0,
Item,2019,32.0,
Kingdom,2019,6.0,
"My Lawyer, Mr. Jo 2: Crime and",,,
The Sound of Your Heart: Reboot,,,
Clean with Passion for Now,2018,16.0,
Feel Good to Die,2018,32.0,
Mama Fairy and the Woodcutter,2018,16.0,
Drama Special Season 9: The Tuna and,,,
Ping Pong Ball,2018,2.0,
Dokgo Rewind,2018,20.0,
Along with the Gods 2: The Last 49,,,
My ID Is Gangnam Beauty,2018,16.0,
Illang: The Wolf Brigade,,,
Your House Helper,2018,32.0,
Student A,,,
What's Wrong with Secretary Kim,,,
Cheese in the Trap,,,
Romance Written Differently,2018,8.0,
Little Forest,,,
Longing Heart,2018,10.0,
Steel Rain,,,
Along with the Gods: The Two Worlds,,,
The Best Moment to Quit Your Job,,,
The Chase,,,
Meloholic,2017,10.0,
We Are Peaceful Brothers,2017,15.0,
Go Back Couple,2017,12.0,
Avengers Social Club,2017,12.0,
Shining Na Ra,2017,12.0,
The IDOLM@STER.KR,2017,24.0,
The Boy Next Door    9.0,2017,15.0,
The Liar and His Lover,2017,16.0,
The Sound of Your Heart,2016,20.0,
Sweet Stranger and Me,2016,16.0,
Women at a Game Company,2016,11.0,
Tong: Memories,2016,12.0,
"Bring It On, Ghost    8.0",2016,16.0,
"My Lawyer, Mr. Jo",2016,20.0,
A Violent Prosecutor,,,
Ready for Start - Vol. 1,2016,12.0,
Cheese in the Trap    6.0,2016,16.0,
Inside Men: The Original,,,
Cheers to Me,2015,10.0,
Imaginary Cat,2015,8.0,
Inside Men,,,
Awl,2015,12.0,
Webtoon Hero - Tundra Show,2015,12.0,
Last,2015,16.0,
Late Night Restaurant,2015,20.0,
We Broke Up,2015,10.0,
Prince's Prince    8.0,2015,10.0,
Orange Marmalade    8.5,2015,12.0,
Jumping Girl,2015,15.0,
The Girl Who Sees Scents,2015,16.0,
Super Daddy Yeol,2015,16.0,
Ho Goo's Love,2015,16.0,
"Hyde, Jekyll, Me",2015,20.0,
The Cat Funeral,,,
Space Between: Sunshowers,2014,4.0,
Dr. Frost,2014,10.0,
Fashion King    9.0,,,
Love Cells,2014,15.0,
Liar Game,2014,12.0,
Naeil's Cantabile,2014,16.0,
Aftermath Season 2    8.0,2014,6.0,
Aftermath    8.0,2014,5.0,
The Five,,,
Secretly Greatly,,,
Flower Boy Next Door    8.0,2013,16.0,
26 Years,,,
The Neighbors,,,
To the Beautiful You    6.0,2012,16.0,
Time Slip Dr. Jin,2012,22.0,
Holy Land,2012,4.0,
You're My Pet    8.5,,,
The Empress,2011,13.0,
City Hunter    8.5,2011,20.0,
President,2010,20.0,
Playful Kiss Seung Jo's Diary    9.5,2010,7.0,
Playful Kiss YouTube Edition    10,2010,7.0,
Playful Kiss    8.5,2010,16.0,
Mary Stayed Out All Night,2010,16.0,
Moss,,,
Master of Study,2010,16.0,
Boys over Flowers    10,2009,25.0,
Antique Bakery    8.5,,,
Baby & I    10,,,
I Am Your Teacher,2007,16.0,
200 Pounds Beauty    8.0,,,
One Fine Day,2006,16.0,
Old Boy,,,
Strangers from Hell    10,2019,10.0,
True Beauty    9.0,2020,16.0,
Extraordinary You    9.0,2019,32.0,
My Roommate Is a Gumiho    9.0,2021,16.0,
So I Married an Anti-Fan,2021,16.0,
Cheese in the Trap    8.0,2016,16.0,
Mama Fairy and the Woodcutter    6.0,2018,16.0,
The King's Affection,2021,20.0,
High! Touch,2021,6.0,
Light on Me,2021,16.0,
A DeadbEAT's Meal,2021,12.0,
She Would Never Know,2021,16.0,
Lovers of the Red Sky,2021,16.0,
Dark Hole,2021,12.0,
Our Beloved Summer,2021,16.0,
Best Mistake,2019,15.0,
Sweet Home    10,2020,10.0,
A Bitch and a Punk,,,
Most Liked Comment,2018,8.0,
Horror and Romance,,,
Olive Pocha,2018,14.0,
Her Private Life,2019,16.0,
Possessed,2019,16.0,
Tomorrow    10,2022,16.0,
Dear My Room,2018,12.0,
The Uncanny Counter,2020,16.0,
Art of Girls,,,
This Life to the Next,,,
So You,0,16.0,
Dear X,2025,12.0,
The Borrowed Body,0,15.0,
Revenge Is Ours,,,
Cell,0,12.0,
Whale Star: The Gyeongseong Mermaid,,,
Im Taking a Break from Dating Now,,,
Summer Solstice Point,,,
Delusion,,,
Cherry Blossoms after Winter,2022,8.0,
Again My Life,2022,16.0,
Kiss Sixth Sense,2022,12.0,
Oh Man Sang and Prejudice,,,
A History of Losers,2025,8.0,
1 Second (manhwa),,,
Beauty Newbie,,,
Black Knight (South Korean TV series),,,
Bloodhounds (South Korean TV series),,,
"Bring It On, Ghost",,,
Cheese in the Trap (TV series),,,
Chicken Nugget (TV series),,,
Connect (TV series),,,
D.P. (TV series),,,
The Deal (TV series),,,
Dear X (TV series),,,
Delusion (South Korean TV series),,,
Dr. Brain (TV series),,,
Dr. Frost (TV series),,,
Dr. Park's Clinic,,,
Duty After School,,,
Flower Boys Next Door,,,
Gangnam Beauty,,,
A Girl Who Sees Smells,,,
Go Back (TV series),,,
The God of High School,,,
Hell Is Other People (TV series),,,
Hellbound (TV series),,,
Hogu's Love,,,
Hope: Kitai Zero no Shinnyu Shain,,,
"Hyde Jekyll, Me",,,
Imitation (TV series),,,
Island (South Korean TV series),,,
Item (TV series),,,
Joseon Attorney,,,
Kingdom (South Korean TV series),,,
Knight Flower,,,
Last (TV series),,,
The Law Cafe,,,
Let's Fight Ghost (Thai TV series),,,
Love Revolution (web series),,,
Lovely Runner,,,
"Marry Me, Mary!",,,
Moving (South Korean TV series),,,
My First Love (TV series),,,
"My Lawyer, Mr. Jo 2: Crime and Punishment",,,
Navillera (TV series),,,
Nevertheless (TV series),,,
No Home,,,
"Noble, My Love",,,
Omniscient Reader's Viewpoint,,,
Orange Marmalade (TV series),,,
Pyramid Game (TV series),,,
Return of the Blossoming Blade,,,
Romance 101,,,
Rugal (TV series),,,
Save Me (South Korean TV series),,,
Secret Relationships,,,
A Shoulder to Cry On (TV series),,,
A Simple Thinking About Blood Type,,,
Solo Leveling,,,
Songgot: The Piercer,,,
The Sound of Your Heart (TV series),,,
Study Group (TV series),,,
Sweet Home (TV series),,,
Tale of Fairy,,,
Taxi Driver (South Korean TV series),,,
Tomb Raider King,,,
Tomorrow (South Korean TV series),,,
Tower of God,,,
True Beauty (South Korean TV series),,,
Vigilante (TV series),,,
We Broke Up (web series),,,
Weak Hero,,,
Welcome (TV series),,,
Welcome to Convenience Store,,,
The Witch (TV series),,,
The Sound of Magic: Annarasumanara,,,Ilkwon Ha
Money Game (The 8 Show),,,BAE jin soo
ORANGE MARMALADE,,,Seokwoo
My ID is Gangnam Beauty!,,,Maenggi Ki
Nevertheless,,,Jeongseo
Odd Girl Out,,,Morangji
The Girl Who Sees Smells,,,Maanchwee
A Man's Man,,,Dogado
Hell is Other People,,,Yong-Ki Kim
The Girl Downstairs (Doona!),,,MIN SONGA
Lookism,,,Taejun Pak
Marry My Husband,,,sungsojak / LICO
Reborn Rich,,,JP / BG
Sixth Sense Kiss,,,Got W / Jocobong
So I Married the Anti-Fan,,,
When the Phone Rings,2024,,
Cinderella At 2AM,2024,,
History of Losers,,,
The Year We Turned 29,,,
The Witch,,,
Jung Nyeon,,,
Delightful Outcast,,,
Haesi's Shinru,,,
